key,english,assamese
ui_0001,10-digit number,
ui_0002,3-day trial plan,
ui_0003,A few permissions are needed,
ui_0004,A last autosaved project was found. Do you want to restore it?,
ui_0005,A new app update is ready,
ui_0006,A newer version is available on the Play Store. Update now for the latest improvements.,
ui_0007,A Telugu-first app for creating posters with ease,
ui_0008,About App,
ui_0009,Account,
ui_0010,Account and Content Responsibility,
ui_0011,Account deleted successfully.,
ui_0012,Account deletion,
ui_0013,Account Deletion and Device Access,
ui_0014,Account deletion failed.,
ui_0015,Activate subscription to share or download posters.,
ui_0016,Active,
ui_0017,Add a caption,
ui_0018,Add details optional,
ui_0019,Add Photo,
ui_0020,Add Text,
ui_0021,Adjust,
ui_0022,Adjust mode,
ui_0023,Ads and Third-Party Services,
ui_0024,"After choosing a poster, it can be customized in the editor.",
ui_0025,"After login, the home screen shows poster categories and designs.",
ui_0026,"After selecting a State or Union Territory, the app switches to the region language and shows relevant categories, including political party categories.",
ui_0027,"After you confirm deletion, the app starts removing your sign-in access, profile photo, poster identity details, and app-linked personal data. Play Store or Apple billing records may remain separately for legal or accounting purposes.",
ui_0028,AI is processing the selected photo layer,
ui_0029,Alignment & Shadow,
ui_0030,All,
ui_0031,Allow,
ui_0032,Allow camera from settings.,
ui_0033,Allow from Settings,
ui_0034,Allow gallery permission and try exporting again,
ui_0035,Allow location from settings.,
ui_0036,Allow notifications from settings.,
ui_0037,Allow photos from settings.,
ui_0038,Allowed,
ui_0039,Already have an account?,
ui_0040,An account already exists with this email.,
ui_0041,An active plan was restored from the backend,
ui_0042,and,
ui_0043,Another payment is already in progress.,
ui_0044,App details and version info,
ui_0045,App Settings,
ui_0046,App settings opened.,
ui_0047,Apply,
ui_0048,Applying eraser,
ui_0049,Applying magic wand,
ui_0050,Applying...,
ui_0051,Approved,
ui_0052,Authentication is not configured on this build.,
ui_0053,Auto-renewal,
ui_0054,Available languages,
ui_0055,Back,
ui_0056,Background,
ui_0057,Background Colors,
ui_0058,Background Opacity,
ui_0059,Background remove processing,
ui_0060,"Background tool: choose White, Color, Gradient, or Image.",
ui_0061,Banner unavailable,
ui_0062,Billing service is unavailable,
ui_0063,Blur,
ui_0064,Border,
ui_0065,Brightness,
ui_0066,Bring front,
ui_0067,Browse posters by category and quickly choose a suitable design.,
ui_0068,Brush,
ui_0069,Build,
ui_0070,Business,
ui_0071,Business Details,
ui_0072,Business logo update failed,
ui_0073,Business Name,
ui_0074,Business preview,
ui_0075,Business Tagline,
ui_0076,Business WhatsApp Number,
ui_0077,Buy,
ui_0078,"By continuing, you agree to our Privacy Policy and Terms & Conditions.",
ui_0079,Camera,
ui_0080,Camera access granted.,
ui_0081,Camera access is off.,
ui_0082,Cancel,
ui_0083,Canvas is empty,
ui_0084,Capture failed. Please try again.,
ui_0085,Category,
ui_0086,Category is required,
ui_0087,Center,
ui_0088,Change logo,
ui_0089,Change photo,
ui_0090,Check,
ui_0091,Checking plan status...,
ui_0092,Checking subscription status...,
ui_0093,Children's Privacy,
ui_0094,Choose and share with your name,
ui_0095,Choose the closest reason. Reports help keep the community safe and may be reviewed by our team.,
ui_0096,Choose the language you want in the app. You can change it later too.,
ui_0097,Choose your app language,
ui_0098,Choose your language,
ui_0099,Christian,
ui_0100,Close,
