key,english,assamese
ui_0201,Google Sign-In popup was blocked. Allow popups and try again.,
ui_0202,Google Sign-In setup is incomplete. Please try again later.,
ui_0203,Google Sign-In was canceled before completing sign-in.,
ui_0204,Google Sign-In was interrupted. Please try again.,
ui_0205,Gradient,
ui_0206,Harassment or bullying,
ui_0207,Hardness,
ui_0208,Hate speech or discrimination,
ui_0209,Height,
ui_0210,Help & Support,
ui_0211,Hide this item?,
ui_0212,Hindu,
ui_0213,Home will show the categories that match your selection.,
ui_0214,How the app works,
ui_0215,How We Use Data,
ui_0216,Illegal content,
ui_0217,Image,
ui_0218,Image Editor,
ui_0219,Image or quote is required,
ui_0220,Image or text is required,
ui_0221,Image size must be 500KB or less,
ui_0222,Inches,
ui_0223,Includes poster/stage background,
ui_0224,Incorrect email or password.,
ui_0225,"It can also be used in English, Hindi, Tamil, Kannada, and Malayalam.",
ui_0226,JPG,
ui_0227,Language,
ui_0228,Language Settings,
ui_0229,"Last updated: June 15, 2026",
ui_0230,Later,
ui_0231,Layers,
ui_0232,Left,
ui_0233,Letter Spacing,
ui_0234,Line Spacing,
ui_0235,Location,
ui_0236,Location access granted.,
ui_0237,Location access is off.,
ui_0238,Login,
ui_0239,Login required,
ui_0240,Login with Email,
ui_0241,Login with Google or Email and start your poster journey.,
ui_0242,Logo Style,
ui_0243,Logout,
ui_0244,Magic,
ui_0245,Magic wand,
ui_0246,Main features,
ui_0247,Mana Business,
ui_0248,Mana Poster Ai Featured Banner,
ui_0249,"Mana Poster Ai helps users quickly choose, personalize, and share greeting posters, festival designs, business promotions, devotional content, and other occasion-based posters. The app is built around a simple mobile workflow for browsing, editing, and sharing in one place.",
ui_0250,"Mana Poster Ai is intended for personal, business, and promotional poster creation. You must use the app lawfully and responsibly.",
ui_0251,Manage current plan and upgrades,
ui_0252,Minimum 6 characters required,
ui_0253,Misinformation or deceptive political content,
ui_0254,Monthly,
ui_0255,Monthly plan,
ui_0256,More,
ui_0257,Mother's Day,
ui_0258,Move backward,
ui_0259,Move forward,
ui_0260,Move to back,
ui_0261,Move to front,
ui_0262,Muslim,
ui_0263,My Downloads,
ui_0264,My Status,
ui_0265,My Uploads,
ui_0266,National,
ui_0267,Need help from support?,
ui_0268,Network issue. Please check your internet connection.,
ui_0269,New Poster,
ui_0270,No,
ui_0271,No account found for this email.,
ui_0272,No logged-in user found.,
ui_0273,No matching region found.,
ui_0274,No new statuses yet,
ui_0275,No posters are available in this section,
ui_0276,No replies yet,
ui_0277,No saved drafts yet,
ui_0278,No subscription found to restore,
ui_0279,No uploads yet,
ui_0280,None,
ui_0281,Not active,
ui_0282,Not allowed,
ui_0283,Not available on web.,
ui_0284,Notification,
ui_0285,Notifications,
ui_0286,Notifications access granted.,
ui_0287,Notifications are off.,
ui_0288,"Notifications, permissions, help, privacy policy, and terms are available inside the app.",
ui_0289,Object selected,
ui_0290,OK,
ui_0291,"Once a design is selected, it can be edited and personalized in the editor.",
ui_0292,Opacity,
ui_0293,Open App Settings,
ui_0294,Open Home,
ui_0295,Optional now,
ui_0296,Optional short line,
ui_0297,Options,
ui_0298,Other safety issue,
ui_0299,Page Setup,
ui_0300,Paint Target,
