key,english,assamese
ui_0401,Restore to refresh your verified subscription status,
ui_0402,Right,
ui_0403,Rounded,
ui_0404,Saturation,
ui_0405,Save / Apply,
ui_0406,Save Current,
ui_0407,"Save poster profile, business name, photo, and WhatsApp details.",
ui_0408,Saving...,
ui_0409,Search elements,
ui_0410,Search templates,
ui_0411,Select a photo first,
ui_0412,Select a photo layer for crop,
ui_0413,Select Category,
ui_0414,Select category,
ui_0415,Select Image,
ui_0416,Select your religion,
ui_0417,Selected photo,
ui_0418,Send back,
ui_0419,Sending,
ui_0420,Service Changes and Limitation of Liability,
ui_0421,Sexual or adult content,
ui_0422,Shadow,
ui_0423,Shadow Blur,
ui_0424,Shadow Offset Y,
ui_0425,Shadow Opacity,
ui_0426,Share,
ui_0427,Share boundary not ready,
ui_0428,"Share failed, please try again",
ui_0429,Share failed. Please try again.,
ui_0430,Share is already in progress,
ui_0431,Share WhatsApp,
ui_0432,Sharing poster,
ui_0433,Sign out logic can be connected later,
ui_0434,Sign Up,
ui_0435,Sign Up with Email,
ui_0436,Signed-in account mismatch. Please sign in again.,
ui_0437,Size,
ui_0438,Skip,
ui_0439,Smaller file size,
ui_0440,Soft,
ui_0441,Softly removing the brushed photo area,
ui_0442,Source photo unavailable for Remove BG,
ui_0443,"Spam, scam, or fake content",
ui_0444,Special,
ui_0445,Start Design,
ui_0446,State,
ui_0447,Status,
ui_0448,status,
ui_0449,Status check failed,
ui_0450,Status image must be 12MB or less,
ui_0451,Status information unavailable,
ui_0452,Status text must be 300 characters or less,
ui_0453,Status upload failed. Please try again.,
ui_0454,Status upload is supported on mobile app only,
ui_0455,Status uploaded,
ui_0456,Statuses,
ui_0457,statuses,
ui_0458,Stickers,
ui_0459,Store product not found. Check product id.,
ui_0460,Strength,
ui_0461,Stroke,
ui_0462,Stroke Color,
ui_0463,Stroke Width,
ui_0464,Style,
ui_0465,Submit,
ui_0466,Submitting...,
ui_0467,Subscribe,
ui_0468,"Subscribe for downloads, sharing, and membership benefits.",
ui_0469,Subscribe Now,
ui_0470,Subscribe now to create and share unlimited posters in the app.,
ui_0471,Subscription,
ui_0472,Subscription / Plans,
ui_0473,Subscription activated,
ui_0474,"Subscription cancellation is generally managed through your Play Store or App Store subscription settings. After cancelling, access may continue until the current billing period ends. Refund eligibility is determined by Google Play or Apple policies.",
ui_0475,Subscription details,
ui_0476,Subscription expired,
ui_0477,Subscription is not active,
ui_0478,Subscription Plan,
ui_0479,Subscription Required,
ui_0480,Subscription restored,
ui_0481,Subscription verification failed,
ui_0482,Subscription verification is unavailable. Please try again later.,
ui_0483,Subscriptions and Billing,
ui_0484,Subscriptions and Premium Access,
ui_0485,Support,
ui_0486,Support and contact,
ui_0487,Swipe up for replies,
ui_0488,Tap inside the selected photo,
ui_0489,Tap the color you want to remove,
ui_0490,Tap to add a status,
ui_0491,Telugu-first experience,
ui_0492,Template failed to load. Please try again.,
ui_0493,Template image unavailable,
ui_0494,Template layers failed to load. Please try again.,
ui_0495,Terms,
ui_0496,Terms & Conditions,
ui_0497,Text,
ui_0498,Text Colors,
ui_0499,Text Opacity,
ui_0500,Text selected,
