key,english,assamese
ui_0101,Color,
ui_0102,Community Contribution,
ui_0103,"Community quote/image submissions are reviewed by a manager, who may customize and publish the poster in the correct category.",
ui_0104,"Community Status, Replies, and 24-Hour Retention",
ui_0105,"Community Status, Replies, and Temporary Content",
ui_0106,"Community upload lets users send an image, quote, or both for manager review; approved posters appear in the appropriate category.",
ui_0107,Community Uploads and Review,
ui_0108,"Community Uploads, Moderation, and Reporting",
ui_0109,Confirm account deletion,
ui_0110,Congratulations! You received 30 days Premium free.,
ui_0111,Contact Information,
ui_0112,Continue,
ui_0113,Continue with Google,
ui_0114,Contrast,
ui_0115,Control alerts and updates,
ui_0116,Copyright or trademark issue,
ui_0117,Corner Radius,
ui_0118,Could not add the extra photo.,
ui_0119,Could not load downloads.,
ui_0120,Could not open editor. Please try again.,
ui_0121,Could not open settings. Please try again.,
ui_0122,Could not open the link. Please try again.,
ui_0123,Could not open the mail app. Please try again.,
ui_0124,Could not open the Play Store. Please try again.,
ui_0125,Could not refresh status. Pull down to retry.,
ui_0126,Could not save language. Please try again.,
ui_0127,Could not save parties. Please try again.,
ui_0128,Could not save your selection. Please try again.,
ui_0129,Create,
ui_0130,Create & Share,
ui_0131,Crop,
ui_0132,Crop failed,
ui_0133,Crop Logo,
ui_0134,Crop mode,
ui_0135,Crop Photo,
ui_0136,Current language,
ui_0137,Custom,
ui_0138,"Customize the selected template in the editor, then save or share it.",
ui_0139,Data Protection,
ui_0140,Data Sharing,
ui_0141,Delete,
ui_0142,Delete account,
ui_0143,Delete layer,
ui_0144,Delete my account,
ui_0145,Delete selected,
ui_0146,Designation,
ui_0147,Device Access and Sessions,
ui_0148,Display Name,
ui_0149,Don't have an account?,
ui_0150,Download,
ui_0151,Download failed. Please try again.,
ui_0152,Draft save failed,
ui_0153,Draft saved in app storage,
ui_0154,Drafts,
ui_0155,Drag on the photo to erase,
ui_0156,Duplicate selected,
ui_0157,Edit,
ui_0158,Edit Text,
ui_0159,Editor is not available on web. Use the mobile app to create posters.,
ui_0160,Effects,
ui_0161,Elements,
ui_0162,Email address,
ui_0163,Enter a referral code if you have one.,
ui_0164,Enter business name,
ui_0165,Enter referral code,
ui_0166,Enter valid email,
ui_0167,Enter your designation,
ui_0168,Enter your name,
ui_0169,Erase,
ui_0170,Eraser,
ui_0171,Export,
ui_0172,Export boundary not ready,
ui_0173,Export is already in progress,
ui_0174,Exporting poster,
ui_0175,Father's Day,
ui_0176,"Features, pricing, designs, ads, and these terms may change over time. Some features may become temporarily unavailable because of technical issues, platform restrictions, or third-party failures. To the extent permitted by law, the app is not liable for indirect loss, data loss, or missed business opportunities.",
ui_0177,File save failed. Please try again.,
ui_0178,Fill,
ui_0179,Fill Colors,
ui_0180,"Finally, the completed poster can be saved or shared.",
ui_0181,"Firebase, Analytics, and Ads",
ui_0182,Font,
ui_0183,Font Size,
ui_0184,Fonts,
ui_0185,"For account security, one account may remain active on only one primary device session at a time. If the same account is activated on another primary device, the previous session may be signed out. This helps reduce account misuse and unauthorized access.",
ui_0186,For updates.,
ui_0187,Forgot Password,
ui_0188,Free,
ui_0189,Friendship Day,
ui_0190,Front,
ui_0191,Gallery,
ui_0192,Gallery permission was denied.,
ui_0193,Get help and contact support,
ui_0194,Glow,
ui_0195,Good Afternoon,
ui_0196,Good Morning,
ui_0197,Good Night,
ui_0198,Google Sign-In failed. Please try again.,
ui_0199,Google Sign-In is not available on this device right now.,
ui_0200,Google Sign-In is not supported on this build.,
