key,english,assamese
ui_0501,Text Style,
ui_0502,Text styling,
ui_0503,"Text tool: tap Add Text, then style it.",
ui_0504,Text tools,
ui_0505,Thank You,
ui_0506,Thanks,
ui_0507,"The app may display AdMob ads. Ad availability, ad-skip timing, billing services, Google sign-in, notifications, or Firebase services may depend on third-party providers. The app does not guarantee uninterrupted availability of third-party services.",
ui_0508,"The app provides an account deletion request option. After deletion, login access, poster profile data, and linked app data may be removed. Some billing or platform-required records may be retained for a limited period.",
ui_0509,"The app uses Firebase Authentication, Firestore, Storage, Messaging, Analytics, Crashlytics, Google Sign-In, Google Play Billing, and AdMob. These services support app performance, crash diagnostics, notifications, billing verification, and ad delivery. AdMob may collect device identifiers, IP address, and usage data to provide personalized or non-personalized ads.",
ui_0510,"The in-app Status feature allows a user to upload a text status, an image status, or an image with a caption. A user may keep up to 5 text statuses and 2 image/image + caption statuses active within a 24-hour active window; deleting an old active status or waiting for expiry frees that limit again. An image with a caption counts toward the image status limit. These limits may change for abuse prevention, storage cost control, performance, moderation, or security reasons. Status visibility is limited based on the user-selected State/Union Territory and religion preference; generally, a status is shown only to signed-in users in the same region and same or compatible religion scope. If the user enables optional location access, we use Android native location permission and store only approximate city, district, state, country code, update time, and a random feed seed to prioritize nearby statuses, show area-relevant banners, support area-targeted admin push notifications, and provide privacy-safe admin insights. We do not store or display exact GPS latitude/longitude for this feature. Denying location permission does not block normal app use. When a status is uploaded, we may process the status text, caption, background color, compressed image file, image storage path, user ID, user display name, user photo URL, region ID/name, religion preference, approximate location fields if enabled, created time, expiry time, view count, like count, reaction count, viewers map, likes map, reactions map, and related technical metadata.

When an image status is uploaded, the app may compress the file to reduce file size. Compression is used to reduce storage/bandwidth cost and improve loading speed; we do not promise to retain the original image as a permanent archive. Status media is stored temporarily in backend storage. Each status is assigned a 24-hour expiry time. Expired statuses are processed by backend scheduled cleanup for permanent deletion of the Firestore document, related comments/replies subcollection, and uploaded status image storage file. Because cleanup runs on a schedule, deletion is not guaranteed at the exact second of expiry; it normally occurs in the next cleanup cycle after expiry.

Other users may send a reply/comment to a status owner. A reply/comment may store the commenter user ID, display name, comment text, status ID, status owner ID, and created time. The app is designed so that only the status owner can view replies for their own status in the replies screen; limited records may also remain available for the commenter's own use or enforcement. Comments are not intended as public feed comments; they are for response/feedback to the status owner only. Comments must not contain abusive, illegal, hateful, threatening, sexually explicit, misleading, spam, impersonation, copyright/trademark infringing, election/political misuse, or privacy-violating content. If there is a policy violation, safety issue, legal request, abuse investigation, or technical requirement, comments/status records may need to be reviewed, restricted, deleted, retained, or disclosed.

The status viewer processes view counts, likes, reactions, and replies for the app experience. If a user taps/opens a status, a view record may be updated. If a user sends a like/reaction, account-level reaction data may be updated in backend maps. These interactions are not anonymous to the backend because user-linked records may be required for fraud prevention, abuse prevention, count accuracy, security, moderation, and user safety.",
